question,response_time_sec,session_id
"['Okay', '.', 'That', 'is', 'fine', '.', ':)', 'Tick', 'tock', '.', 'Out', 'of', 'minutes', 'in', '5', 'mins', 'How', 'familiar', 'are', 'you', 'with', 'complex', 'numbers', '?']",31,300893
"['Ah', '.', 'I', 'see', '.', 'Have', 'you', 'simplified', 'complex', 'numbers', 'before', '?']",32,300893
"['We', 'will', 'first', 'define', 'what', 'is', 'whisker', ""'s"", 'graph', 'and', 'have', 'some', 'examples', 'on', 'how', 'to', 'use', 'it', '.', 'Just', 'remember', ',', 'the', 'more', 'you', 'participate', 'the', 'quicker', 'we', 'can', 'finish', 'this', 'session', 'and', 'the', 'more', 'you', 'will', 'learn', '.', 'Are', 'you', 'ready', '?']",5,300955
"['Great', '!', 'Have', 'you', 'heard', 'of', 'whisker', ""'s"", 'graph', 'before', 'in', 'class', '?']",38,300955
"['That', 'is', 'fine', '.', 'I', 'will', 'give', 'you', 'an', 'idea', 'of', 'it', '.', ':)', 'A', 'whisker', ""'s"", 'graph', 'is', 'a', 'short', 'term', 'for', 'box', '-', 'and', '-', 'whisker', 'graph', '.', 'Have', 'you', 'encountered', 'this', 'term', 'box', '-', 'and', '-', 'whisker', 'graph', 'before', '?']",27,300955
"['It', ""'s"", 'correct', '!', 'Great', 'job', '!', 'Do', 'you', 'have', 'any', 'other', 'questions', '?']",19,301010
"['Ok', '!', 'Give', 'me', 'a', 'minute', 'to', 'review', 'the', 'problem', '!', 'It', ""'s"", 'all', 'correct', '!', 'Great', 'job', '!', 'Do', 'you', 'have', 'any', 'other', 'questions', '?']",54,301010
"['Your', 'part', 'C', 'seems', 'solid', '!', 'I', ""'d"", 'say', 'it', ""'s"", 'a', 'great', 'way', 'to', 'test', 'it', '!', 'Do', 'you', 'have', 'any', 'other', 'questions', '?']",28,301010
"['Do', ""n't"", 'worry', ',', 'no', 'minutes', 'will', 'be', 'used', 'while', '', 'Burhan', 'reviews', 'your', 'problem', '😃', 'Hi', 'Iola', ',', 'welcome', 'to', 'Yup', '!', ':', ']', 'Please', 'give', 'me', 'a', 'minute', 'to', 'look', 'over', 'your', 'problem', '.', 'Is', 'this', 'problem', 'from', 'an', 'exam', '?']",15,301048
"['Alright', '.', 'How', 'much', 'progress', 'have', 'you', 'made', 'so', 'far', '?', 'Or', 'are', 'you', 'unsure', 'of', 'how', 'to', 'start', '?']",22,301048
"['No', 'problem', ',', 'this', 'can', 'be', 'a', 'tough', 'question', '.', 'Are', 'you', 'familiar', 'with', 'laws', 'of', 'exponents', 'for', 'multiplication', ',', 'division', 'etc', '?']",10,301048
"['Hi', 'Ashleigh', ',', 'welcome', 'to', 'Yup', '!', 'What', 'can', 'I', 'help', 'you', 'with', '?']",51,301060
"['Session', 'started', 'How', 'far', 'have', 'you', 'gotten', 'in', 'this', 'problem', '?']",84,301060
"['Ok', '!', 'Well', 'what', 'gets', 'you', 'stuck', 'on', '2b', '?']",72,301060
"['I', 'ca', ""n't"", 'read', 'the', 'problem', 'very', 'well', ',', 'could', 'you', 'try', 'uploading', 'another', 'picture', '?']",40,301091
"['Thanks', '!', 'That', ""'s"", 'much', 'better', '.', 'While', 'I', 'work', 'on', 'it', ',', 'could', 'you', 'upload', 'any', 'work', 'you', ""'ve"", 'done', 'so', 'far', '?']",92,301091
"['Well', ',', 'based', 'on', 'the', 'problem', ',', 'there', 'should', 'be', 'three', 'significant', 'figures', '(', 'as', 'the', 'molarity', 'and', 'the', 'volume', 'both', 'have', 'three', 'SFs', ')', 'but', 'your', 'answers', 'have', 'only', 'one', 'significant', 'figure', '.', 'When', 'you', 'type', 'in', 'the', 'first', 'problem', '(', 'where', 'you', 'found', 'moles', 'of', 'Ca2', '+', ')', ',', 'what', 'did', 'the', 'calculator', 'read', '?', 'Your', 'free', 'trial', 'has', '5', 'mins', 'left', '.', 'After', 'that', 'switching', 'to', '23¢/min']",33,301091
"['Is', 'there', 'a', 'chemistry', 'problem', 'I', 'can', 'help', 'you', 'with', '?']",53,301103
"['Okay', '!', 'Are', 'you', 'confused', 'on', 'the', 'definition', 'or', 'how', 'you', 'would', 'use', 'redox', 'reactions', 'when', 'solving', 'problems', '?']",14,301103
"['Great', '!', 'Is', 'there', 'any', 'thing', 'else', 'I', 'can', 'help', 'you', 'with', '?']",27,301103
"['No', 'worries', '!', 'Can', 'you', 'show', 'me', 'what', 'you', 'have', 'done', 'so', 'far', '?', 'You', 'are', 'correct', 'that', 'this', 'is', 'a', 'trapezoid', '!', 'And', 'do', 'you', 'have', 'any', 'ideas', 'on', 'how', 'to', 'find', 'the', 'area', 'of', 'a', 'trapezoid', '?']",68,301113
"['You', ""'re"", 'not', 'dumb', 'at', 'all', '!', 'Its', 'good', 'to', 'double', 'check', ':-)', 'Was', 'all', 'this', 'clear', '?']",6,301113
"['Great', '!', 'Do', 'you', 'need', 'help', 'with', 'anything', 'else', '?']",5,301113
"['Hi', ',', 'Sophia', '!', 'Session', 'started', 'Welcome', 'to', 'Yup', '!', 'Let', 'me', 'review', 'your', 'problem', 'really', 'quick', 'OK', ',', 'got', 'it', '!', 'So', ',', 'which', 'one', 'of', 'them', 'are', 'you', 'struggling', 'with', '?']",12,301117
"['OK', ',', 'no', 'problem', '!', 'Let', ""'s"", 'start', 'from', 'problem', '#', '1', '.', 'Have', 'you', 'made', 'any', 'progress', 'so', 'far', '?']",24,301117
"['It', ""'s"", 'totally', 'fine', '!', 'Lets', 'start', 'from', 'the', 'very', 'beginning', '.', 'However', ',', 'I', 'need', 'to', 'ask', 'you', 'a', 'few', 'questions', 'to', 'figure', 'out', 'what', 'is', 'your', 'problem', 'with', 'these', 'problems/.', 'So', ',', 'do', 'you', 'know', 'what', 'mole', 'is', '?']",68,301117
"['I', 'am', 'looking', 'over', 'your', 'problem', '.', 'The', 'image', 'you', 'sent', 'is', 'a', 'little', 'blurry', ',', 'can', 'you', 'upload', 'it', 'again', ',', 'please', '?', 'Thank', 'you', '.']",64,301208
"['How', 'much', 'progress', 'have', 'you', 'made', 'so', 'far', '?']",8,301208
"['Are', 'you', 'sure', '?', ':)', 'Let', ""'s"", 'say', 'that', 'you', 'had', '15', 'candies', 'and', 'you', 'ate', '5', '.']",67,301208
"['What', 'can', 'I', 'help', 'you', 'with', '?']",13,301308
"['Hold', 'on', '.', 'Can', 'I', 'just', 'ask', 'another', 'question', '.', 'Is', 'this', 'a', 'Physics', 'question', '?']",13,301308
"['Okay', '.', 'When', 'you', 'convert', '30', 'mph', 'to', 'feet', 'per', 'second', ',', 'what', 'will', 'you', 'get', '?']",28,301308
"['Do', ""n't"", 'worry', ',', 'no', 'minutes', 'will', 'be', 'used', 'while', '', 'Dung', 'Nguyen', 'reviews', 'your', 'problem', '😃', 'Thanks', 'for', 'submitting', 'your', 'problem', 'to', 'Yup', ',', 'Jeunto', '!', 'Could', 'you', 'please', 'give', 'me', 'a', 'minute', 'to', 'look', 'over', 'your', 'problem', '?']",6,301538
"['This', 'is', 'a', 'touch', 'problem', '.', 'We', 'need', 'more', 'than', 'than', 'usual', 'to', 'review', 'it', '.', 'Would', 'you', 'mind', 'about', 'this', '?']",27,301538
"['The', 'problem', 'is', 'unclear', '.', 'Is', 'it', '[', 'cos^-1(x', ')', '•', '√(1-x)^2]^-1', 'or', '[', 'cos^-1(x•√(1-x)^2)]^-1', '?']",32,301538
"['Thanks', '.', 'I', ""'ve"", 'reviewed', 'your', 'problem', '.', 'Let', ""'s"", 'work', 'together', 'on', 'this', 'problem', 'to', 'order', 'the', 'numbers', 'from', 'least', 'to', 'greatest', '.', 'Have', 'you', 'already', 'started', 'working', 'on', 'this', 'problem', '?']",21,301611
"['Okay', '.', 'We', 'will', 'work', 'together', 'to', 'find', 'the', 'solution', '!', 'Could', 'you', 'please', 'show', 'me', 'what', 'you', 'did', '?']",34,301611
"['<url>', 'Did', 'you', 'receive', 'the', 'image', '?']",35,301611
"['Sure', '.', 'Do', 'we', 'have', 'to', 'find', 'the', 'unknown', 'angle', '?']",20,301631
"['Thank', 'you', 'for', 'confirming', '!', 'How', 'far', 'are', 'you', 'in', 'solving', 'this', 'problem', '?']",32,301631
"['Are', 'you', 'trying', 'this', 'problem', '?', 'Are', 'you', 'with', 'me', 'on', 'this', 'chat', '?', 'No', 'worries', ',', 'we', ""'ll"", 'tackle', 'it', 'together', 'and', 'arrive', 'at', 'the', 'solution', 'in', 'no', 'time', '.', 'What', 'do', 'you', 'remember', 'about', 'the', 'sum', 'of', 'the', 'angles', 'in', 'a', 'triangle', '?']",219,301631
"['Well', 'that', 'depends', ',', 'where', 'did', 'you', 'find', 'this', 'image', '?']",15,301790
"['Ok', '!', 'Let', ""'s"", 'see', 'if', 'we', 'can', 'work', 'this', 'out', '.', 'What', 'kind', 'of', 'science', 'book', 'was', 'it', '?']",35,301790
"['Ok', ',', 'is', 'there', 'any', 'way', 'you', 'can', 'take', 'a', 'picture', 'of', 'the', 'actual', 'image', 'from', 'the', 'book', '?']",33,301790
"['Are', 'you', 'currently', 'on', 'a', 'test', '?']",69,301830
"['In', 'which', 'item', 'do', 'you', 'need', 'my', 'help', '?']",78,301830
"['How', 'far', 'have', 'you', 'gone', 'in', 'this', 'problem', '?']",14,301830
"['What', 'are', 'the', 'instructions', 'given', 'for', 'this', 'problem', '?']",25,301944
"['So', ',', 'we', 'need', 'to', 'divide', '8.1', 'by', '7', '.', 'Right', '?']",5,301944
"['Okay', '.', '', 'I', ""'ve"", 'reviewed', 'your', 'problem', 'on', 'dividing', 'decimal', 'numbers', '.', 'Let', ""'s"", 'work', 'together', 'and', 'find', 'out', 'exactly', 'where', 'you', ""'re"", 'stuck', '.', 'Would', 'you', 'like', 'to', 'show', 'me', 'if', 'you', 'have', 'tried', 'any', 'work', 'on', 'it', '?']",25,301944
"['Could', 'you', 'please', 'tell', 'me', 'if', 'you', 'have', 'made', 'any', 'progress', 'in', 'this', 'problem', '?', 'Or', 'should', 'we', 'start', 'at', 'the', 'beginning', '?']",12,302162
"['In', 'order', 'to', 'solve', 'this', 'linear', 'equation', ',', 'we', 'are', 'going', 'to', 'need', 'distribute', 'in', 'our', 'negative', 'sign', 'and', 'combine', 'the', 'like', 'terms', '.', 'Here', 'we', 'have', '-(y+2', ')', '+', '6', '=', '-4y', '+', '12', '.', 'The', 'first', 'step', 'we', 'could', 'take', 'in', 'solving', 'this', 'equation', 'is', 'to', 'distribute', 'the', 'negative', 'sign', 'inside', 'the', 'parenthesis', 'so', 'we', 'can', 'get', 'rid', 'of', 'it', '.', 'Do', 'you', 'think', 'you', 'could', 'give', 'this', 'a', 'shot', '?']",14,302162
"['Since', 'Yup', 'is', 'an', 'educational', 'service', 'that', 'promotes', 'learning', ',', 'it', 'is', 'against', 'our', 'Honor', 'Code', 'to', 'give', 'out', 'answers', '.', '', 'Let', '’s', 'work', 'through', 'the', 'problem', 'together', 'so', 'that', 'you', 'understand', 'the', 'concept', '.', 'Let', ""'s"", 'take', 'a', 'look', 'at', 'a', 'simpler', 'example', 'so', 'we', 'can', 'master', 'this', 'concept', 'and', 'apply', 'it', 'to', 'our', 'problem', ',', 'shall', 'we', '?']",2,302162
"['This', 'is', 'a', 'bit', 'complex', 'problem', 'and', 'it', 'would', 'be', 'nice', 'if', 'we', 'know', 'the', 'answer', 'so', 'we', 'can', 'verify', 'we', 'got', 'it', 'right', '.', 'Does', 'your', 'book', 'give', 'answers', '?']",9,302201
"['Can', 'you', 'upload', 'it', 'as', 'well', '?', 'I', 'got', 'an', 'answer', 'and', 'would', 'like', 'to', 'see', 'if', 'I', 'got', 'it', 'right', '?']",59,302201
"['Sorry', 'that', 'is', 'not', 'what', 'I', 'got', '.', 'Unfortunately', ',', 'I', 'am', 'unable', 'to', 'help', 'you', 'with', 'this', 'problem', 'as', 'it', 'is', 'outside', 'of', 'my', 'area', 'of', 'expertise', '.', '', 'If', 'you', '’d', 'like', 'to', 'ask', 'another', 'tutor', ',', 'please', 'end', 'the', 'session', 'and', 'submit', 'a', 'new', 'request', '.', 'Otherwise', ',', 'is', 'there', 'something', 'else', 'I', 'can', 'help', 'you', 'with', '?']",58,302201
"['There', ""'s"", 'an', 'unseen', 'part', 'in', 'the', 'right', '.', 'What', 'is', 'the', 'last', 'part', 'of', 'the', 'expression', 'or', 'equation', '?']",37,302282
"['What', 'do', 'we', 'have', 'to', 'do', 'for', 'this', 'expression', '?']",16,302282
"['Were', 'there', 'any', 'instructions', 'given', 'for', 'this', 'problem', '?']",8,302282
"['Hi', 'Andrea', ':', ':)', 'Welcome', 'to', 'Yup', '!', 'Have', 'you', 'attempted', 'this', 'question', 'as', 'yet', '?']",18,302324
"['Could', 'you', 'tell', 'me', 'the', 'answers', 'you', 'got', 'or', 'show', 'me', 'what', 'you', 'did', '?', 'Thanks']",18,302324
"['I', 'am', 'not', 'sure', 'that', 'this', 'is', 'the', 'right', 'thing', 'to', 'use', 'Please', 'give', 'a', 'second', 'to', 'check', 'this', 'for', 'you', 'Hi', 'Andrea', 'I', 'apologize', 'but', 'I', 'am', 'unable', 'to', 'support', 'you', 'on', 'this', 'question', 'at', 'this', 'time', '.', 'I', 'was', 'unable', 'to', 'get', 'further', 'clarification', 'on', 'this', 'in', 'a', 'timely', 'manner', '.', 'Is', 'it', 'possible', 'for', 'you', 'to', 'resubmit', 'this', 'to', 'another', 'tutor', '?']",25,302324
"['Where', 'is', 'the', ""'"", 'dx', ""'"", 'in', 'above', 'integration', '?', '<url>', 'Is', 'that', 'correct', '?']",41,302440
"['Great', '!', 'What', 'have', 'you', 'tried', 'so', 'far', 'in', 'this', 'problem', '?']",14,302440
"['I', 'see', '.', 'What', 'do', 'you', 'know', 'about', 'integration', '?', 'Can', 'you', 'solve', '∫x^2', 'dx', '?']",22,302440
"['Alright', '.', '', ':)', '', 'Can', 'you', 'explain', 'to', 'me', 'why', 'you', 'have', 'selected', 'choices', 'A', 'and', 'F', '?']",318,302962
"['That', ""'s"", 'correct', '.', '', ':)', 'So', 'is', 'it', 'just', 'the', 'definition', 'of', 'a', '""', 'root', '""', 'you', 'are', 'having', 'trouble', 'with', '?']",30,302962
"['You', ""'re"", 'welcome', '.', '', ':)', '', 'Do', 'you', 'have', 'any', 'other', 'questions', 'you', ""'d"", 'like', 'to', 'go', 'over', '?']",5,302962
"['Want', 'an', 'answer', 'quicker', '?', 'If', 'so', ',', 'take', 'a', '📷', 'and', 'let', 'the', 'tutor', 'review', 'your', 'progress', 'now', '.', 'SESSION', 'STARTED', 'AT', '2:07', 'PM', 'Hi', 'Luke', ',', 'welcome', 'to', 'Yup', '!', 'I', 'am', 'Mr.', 'Alexander', 'and', 'I', 'will', 'be', 'your', 'instructor', 'for', 'this', 'session', '.', 'The', 'image', 'is', 'blurry', '.', 'Can', 'you', 'clarify', 'the', 'numbers', 'in', 'the', 'problem', 'you', 'have', 'circled', '?']",27,302965
"['This', 'seems', 'like', 'an', 'interesting', 'problem', 'on', 'percentages', '.', 'Have', 'you', 'started', 'on', 'this', 'problem', '?', 'If', 'so', ',', 'please', 'share', 'what', 'you', 'have', 'tried', 'on', 'this', 'problem', 'so', 'far', '?']",28,302965
"['I', 'know', 'you', 'might', 'be', 'frustrated', ',', 'but', 'handing', 'out', 'easy', 'answers', 'goes', 'against', 'our', 'Pledge', 'and', 'hurts', 'you', 'in', 'the', 'long', 'run', '.', 'If', 'you', 'let', 'me', 'help', 'you', 'understand', 'how', 'the', 'concepts', 'work', ',', 'you', '’ll', 'be', 'able', 'to', 'solve', 'all', 'kinds', 'of', 'problems', 'by', 'yourself', 'later', 'on', '.', 'Can', 'we', 'keep', 'going', '?']",20,302965
"['I', ""'ve"", 'reviewed', 'your', 'problem', '.', 'Let', ""'s"", 'work', 'together', 'to', 'figure', 'out', 'exactly', 'where', 'you', ""'re"", 'stuck', '.', 'What', 'have', 'you', 'tried', 'on', 'this', 'problem', 'so', 'far', '?']",28,303181
"['Can', 'you', 'please', 'show', 'me', 'your', 'work', '?']",20,303181
"['Why', 'are', 'you', 'unsure', 'about', 'what', 'you', 'did', '?']",14,303181
"['I', ""'ve"", 'reviewed', 'your', 'problem', '.', 'Can', 'you', 'tell', 'me', 'more', 'about', 'how', 'much', 'progress', 'you', '’ve', 'made', '?']",10,303345
"['Do', 'you', 'have', 'any', 'idea', 'as', 'how', 'to', 'get', 'started', '?']",7,303345
"['No', 'worries', '!', 'We', 'can', 'work', 'it', 'out', 'together', '.', 'Are', 'you', 'familiar', 'with', 'the', 'substitution', 'method', 'for', 'integration', '?']",120,303345
"['Sure', '!', 'Sending', 'a', '📷', 'of', 'the', 'progress', 'you', '’ve', 'made', 'helps', 'you', 'arrive', 'at', 'a', 'solution', 'faster', '.', '🏃', 'SESSION', 'STARTED', 'AT', '3:29', 'PM', 'Hi', 'Moni', ',', 'welcome', 'to', 'Yup', '!', 'I', 'am', 'Mr.', 'Goswami', 'and', 'I', 'will', 'be', 'your', 'instructor', 'for', 'this', 'session', '.', 'I', 'just', 'reviewed', 'your', 'problem', ',', 'how', 'much', 'progress', 'have', 'you', 'made', 'on', 'the', 'problem', '?']",2,303406
"['Yes', ',', 'sure', '!', 'How', 'far', 'along', 'are', 'you', 'in', 'solving', 'the', 'problem', '?']",8,303406
"['What', 'do', 'you', 'think', 'we', 'could', 'try', 'as', 'our', 'first', 'step', '?']",20,303406
"['I', 'am', 'Ms.', 'Xymines', 'and', 'I', 'will', 'be', 'your', 'tutor', 'for', 'this', 'session', '.', 'Can', 'you', 'tell', 'me', 'what', 'you', 'have', 'tried', 'so', 'far', 'on', 'this', 'problem', '?']",7,303489
"['Have', 'you', 'tried', 'anything', 'on', 'this', 'question', '?']",7,303489
"['Great', '!', 'Can', 'you', 'tell', 'me', 'what', 'you', 'have', 'done', '?']",16,303489
"['The', 'tutor', 'will', 'spend', 'a', 'minute', 'reviewing', 'your', 'problem', 'so', 'when', 'the', 'session', 'begins', ',', 'you', 'can', 'start', 'solving', 'right', 'away', '!', 'SESSION', 'STARTED', 'AT', '3:25', 'PM', 'Hello', 'Bri', '!', 'Welcome', 'to', 'Yup', '!', ':)', 'How', 'can', 'I', 'help', 'you', '?']",19,303533
"['Ok', '.', 'Could', 'you', 'please', 'show', 'me', 'the', 'problem', 'you', 'need', 'help', 'with', '?']",40,303533
"['Are', 'you', 'currently', 'taking', 'a', 'quiz', '?']",73,303533
"['What', 'have', 'you', 'tried', 'on', 'this', 'problem', 'so', 'far', '?']",38,303574
"['Why', 'do', 'you', 'think', 'lines', 'QR', 'and', 'XY', 'intersects', '?', 'Are', 'you', 'with', 'me', '?']",84,303574
"['So', ',', 'the', 'line', 'QR', 'does', 'not', 'lie', 'on', 'the', 'plane', 'P.', 'It', 'touches', 'the', 'plane', 'P', 'at', 'R.', 'Do', 'you', 'think', 'the', 'line', 'QR', 'and', 'XY', 'can', 'intersects', '?']",17,303574
"['Can', 'you', 'clarify', 'what', 'is', 'in', 'the', 'image', '?', ':)']",27,303664
"['I', 'am', 'Mr.', 'Camuyot', 'and', 'I', 'will', 'be', 'your', 'tutor', 'for', 'today', '.', ':)', 'For', 'us', 'to', 'solve', 'this', 'problem', ',', 'we', 'would', 'need', 'to', 'use', 'a', 'scientific', 'calculator', '.', 'TICK', 'TOCK', '.', 'OUT', 'OF', 'MINUTES', 'IN', '5', 'MINS', 'Do', 'you', 'have', 'any', '?']",5,303664
"['And', 'may', 'I', 'just', 'ask', 'if', 'you', 'are', 'currently', 'taking', 'a', 'quiz', 'or', 'test', '?']",14,303664
"['How', 'far', 'have', 'you', 'gotten', 'in', 'solving', 'this', 'problem', '?', 'Would', 'you', 'like', 'to', 'show', 'me', 'your', 'work', 'so', 'far', '?']",40,303806
"['Would', 'you', 'like', 'to', 'show', 'me', 'your', 'work', 'for', 'how', 'you', 'got', 'that', 'answer', '?']",34,303806
"['Do', 'these', 'questions', 'belong', 'to', 'a', 'graded', 'test', 'or', 'quiz', '?', 'Are', 'you', 'currently', 'taking', 'a', 'test', 'or', 'a', 'quiz', '?']",45,303806
"['Hi', 'Myasia', '!', 'Welcome', 'to', 'Yup', '!', 'I', ""'m"", 'Mr.', 'Bregman', 'and', 'I', ""'ll"", 'be', 'your', 'tutor', 'for', 'today', '!', 'Do', 'you', 'have', 'any', 'ideas', 'on', 'how', 'to', 'start', 'this', 'problem', '?', 'Or', 'are', 'you', 'unsure', '?']",13,303816
"['<url>', 'The', 'first', 'one', 'is', 'the', 'one', 'we', 'are', 'interested', 'in', '!', 'Do', 'you', 'see', 'how', 'we', 'can', 'apply', 'it', '?']",37,303816
"['Very', 'good', '!', 'Therefore', 'the', 'answer', 'is', '...', '?']",47,303816
"['Want', 'the', 'most', 'out', 'of', 'Yup', '?', 'Here', '’s', 'a', 'tip', '!', '⚡', '️', 'Yup', 'tutors', 'do', 'not', 'give', 'away', 'answers', ',', 'they', 'make', 'sure', 'you', 'know', 'how', 'to', 'solve', 'the', 'problem', 'yourself', '.', '🙌', 'SESSION', 'STARTED', 'AT', '1:03', 'PM', 'Hi', 'Sam', ',', 'welcome', 'to', 'Yup', '!', 'I', 'am', 'Mr.', 'Alexander', 'and', 'I', 'will', 'be', 'your', 'instructor', 'for', 'this', 'session', '.', 'Which', 'problem', 'do', 'you', 'need', 'help', 'with', 'first', '?']",9,303825
"['Have', 'you', 'started', 'on', 'this', 'problem', '?', 'If', 'so', ',', 'please', 'share', 'what', 'you', 'have', 'tried', 'on', 'this', 'problem', 'so', 'far', '?']",36,303825
"['No', 'worries', '.', 'Let', ""'s"", 'try', 'this', 'together', '.', 'Looks', 'like', 'expressing', 'the', 'equation', 'of', 'a', 'straight', 'line', 'in', 'standard', 'form', '', 'is', 'giving', 'you', 'trouble', '.', 'We', '’ll', 'walk', 'through', 'it', 'and', 'you', '’ll', 'have', 'it', 'down', 'in', 'no', 'time', '.', 'So', ',', 'to', 'begin', 'with', ',', 'can', 'you', 'tell', 'me', 'what', 'the', 'problem', 'is', 'asking', 'for', '?']",225,303825
"['Can', 'you', 'tell', 'me', 'what', 'is', 'being', 'asked', 'for', 'in', 'this', 'problem', '?', ':)']",44,303893
"['<url>', 'Can', 'you', 'see', 'the', 'image', '?', ':)']",9,303893
